objid,ra,dec,u,g,r,i,z,class
1237659324941926527,207.235234884519,57.3895259700413,19.3191,18.16188,17.45435,17.04993,16.75825,QSO
1237659324943958141,215.036348695466,55.7991290802639,19.54246,18.94535,18.20788,17.75005,17.56337,QSO
1237659324944416968,216.693853942666,55.227274294512,18.99335,18.1908,17.47346,16.99568,16.75712,QSO
1237659324947562525,226.937483839248,51.4528668989042,16.74879,15.20031,14.39979,13.9567,13.649,QSO
1237659324953460779,242.027832928275,42.6827419855727,16.85999,16.15738,15.68209,15.29648,15.12872,QSO
1237659324954968074,245.053137879048,40.1517185290864,16.21682,15.30189,14.78407,14.52058,14.27592,QSO
1237661872420421700,233.171654947433,33.3179429302184,17.33136,16.29066,15.75669,15.35629,15.15412,QSO
1237659325478600785,206.566208855219,58.002243353486,18.97204,17.75897,16.86637,16.45291,16.26163,QSO
1237661872931078246,155.960965258116,41.1726037616959,18.21981,17.11166,16.50909,16.0894,15.89741,QSO
1237661872931668202,157.583846245319,41.6912888400656,19.4649,18.63564,17.90399,17.37897,17.18303,QSO
1237659325480501286,214.251174668842,56.4330200577147,17.4234,16.93405,16.53153,16.12387,16.09491,QSO
1237659325481943204,219.30644983417,54.9718373031465,18.84128,17.75278,17.08863,16.641,16.38691,QSO
1237659325482336288,220.657170192926,54.4809435688881,18.23768,17.67903,17.05471,16.6651,16.42347,QSO
1237659325492232338,246.19043456468,39.6637782371768,17.69647,16.87023,16.38663,16.04466,15.87569,QSO
1237661872946151498,203.098774507417,43.5933853365908,19.21381,17.61953,16.73401,16.2428,15.89843,QSO
1237659326019076267,220.521026486791,54.984653892339,19.48065,18.69403,18.01693,17.53374,17.30736,QSO
1237659326019141644,220.710263755381,54.885727544981,17.25677,16.40611,15.87084,15.43477,15.30345,QSO
1237659326026612858,241.492182390935,44.055420456684,17.16596,15.70942,14.99095,14.60311,14.31548,QSO
1237659326028775484,245.950789715583,40.4996903713558,17.66681,16.94301,16.55937,16.13368,16.05681,QSO
1237661873470439429,163.053112286136,43.2857150843852,17.80912,16.84795,16.22516,15.8063,15.59044,QSO
1237659326029889877,248.199494078387,38.5443455743199,19.0535,18.34292,17.86441,17.38914,17.23962,QSO
1237659326553391154,211.520061889598,58.0114962989392,17.7948,17.28551,16.80542,16.338,16.19737,QSO
1237659326573576458,259.483486773951,26.1968330500289,18.20269,17.69796,17.22835,16.84615,16.71296,QSO
1237659327092031748,218.756210175519,56.6288877411606,17.95416,16.98197,16.15519,15.64644,15.42127,QSO
1237661873493311632,231.695385892243,35.1166350478186,18.54787,17.9297,17.25674,16.8254,16.54661,QSO
1237659327092818040,221.328133557499,55.6477764320184,17.6027,16.38449,15.61685,15.18473,14.90693,QSO
1237659327093735495,224.506233460404,54.6822492991167,18.83846,18.07662,17.44978,17.09104,16.87972,QSO
1237661874009014287,168.168075744915,44.7666733317337,18.04066,17.94699,17.88361,17.4607,17.51231,QSO
1237659329776648333,242.945244705465,42.2307619664909,19.24745,18.42153,17.61974,17.16768,16.95336,QSO
1237659329779466342,248.409489590846,37.220610466835,17.90816,17.76407,17.5526,16.93458,17.08535,QSO
